Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Pathway	RefSeq	KEGG	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
Q7V232	Q7V232_PROMP	Pseudouridine synthase (EC 5.4.99.-)	rsuA PMM0658	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	240	PMM0658		WP_011132292.1	pmm:PMM0658;	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	lyase activity [GO:0016829]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]	
Q7V242	Q7V242_PROMP	Sirohydrochlorin chelatase	PMM0646	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	407	PMM0646			pmm:PMM0646;		lyase activity [GO:0016829]; metal ion binding [GO:0046872]	membrane [GO:0016020]
Q7V263	SYH_PROMP	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS PMM0623	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	429	PMM0623		WP_011132257.1	pmm:PMM0623;	histidyl-tRNA aminoacylation [GO:0006427]	ATP binding [GO:0005524]; histidine-tRNA ligase activity [GO:0004821]	cytoplasm [GO:0005737]
Q7V271	Q7V271_PROMP	Probable 2-phosphosulfolactate phosphatase (EC 3.1.3.71)	PMM0614	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	207	PMM0614			pmm:PMM0614;		2-phosphosulfolactate phosphatase activity [GO:0050532]; magnesium ion binding [GO:0000287]	
Q7V275	GLGA_PROMP	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA PMM0609	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	483	PMM0609	PATHWAY: Glycan biosynthesis; glycogen biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00484}.	WP_011132243.1	pmm:PMM0609;	glycogen biosynthetic process [GO:0005978]	"alpha-1,4-glucan synthase activity [GO:0033201]; glycogen (starch) synthase activity [GO:0004373]; starch synthase activity [GO:0009011]"	
Q7V278	Q7V278_PROMP	Signal peptidase I (EC 3.4.21.89)	lepB PMM0606	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	194	PMM0606		WP_011132240.1	pmm:PMM0606;	signal peptide processing [GO:0006465]	serine-type endopeptidase activity [GO:0004252]	membrane [GO:0016020]
Q7V286	SYW_PROMP	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS PMM0598	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	338	PMM0598		WP_011132232.1	pmm:PMM0598;	tryptophanyl-tRNA aminoacylation [GO:0006436]	ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]	cytoplasm [GO:0005737]
Q7V289	KHSE_PROMP	Homoserine kinase (HK) (HSK) (EC 2.7.1.39)	thrB PMM0595	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	315	PMM0595	PATHWAY: Amino-acid biosynthesis; L-threonine biosynthesis; L-threonine from L-aspartate: step 4/5. {ECO:0000255|HAMAP-Rule:MF_00384}.	WP_011132229.1	pmm:PMM0595;	phosphorylation [GO:0016310]; threonine biosynthetic process [GO:0009088]	ATP binding [GO:0005524]; homoserine kinase activity [GO:0004413]	cytoplasm [GO:0005737]
Q7V290	Q7V290_PROMP	oligopeptidase A (EC 3.4.24.70)	PMM0593	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	695	PMM0593		WP_011132227.1	pmm:PMM0593;	proteolysis [GO:0006508]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	
Q7V292	Q7V292_PROMP	"7,8-dihydroneopterin aldolase (EC 4.1.2.25)"	folB PMM0591	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	120	PMM0591	"PATHWAY: Cofactor biosynthesis; tetrahydrofolate biosynthesis; 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate from 7,8-dihydroneopterin triphosphate: step 3/4. {ECO:0000256|RuleBase:RU362079}."	WP_011132225.1	pmm:PMM0591;	folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	dihydroneopterin aldolase activity [GO:0004150]	
Q7V293	PROA_PROMP	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA PMM0590	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	436	PMM0590	PATHWAY: Amino-acid biosynthesis; L-proline biosynthesis; L-glutamate 5-semialdehyde from L-glutamate: step 2/2. {ECO:0000255|HAMAP-Rule:MF_00412}.	WP_011132224.1	pmm:PMM0590;	L-proline biosynthetic process [GO:0055129]	glutamate-5-semialdehyde dehydrogenase activity [GO:0004350]; NADP binding [GO:0050661]	cytoplasm [GO:0005737]
Q7V2A3	CLPB_PROMP	Chaperone protein ClpB	clpB PMM0580	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	860	PMM0580		WP_011132214.1	pmm:PMM0580;		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytoplasm [GO:0005737]
Q7V2A4	Q7V2A4_PROMP	"6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)"	PMM0579	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	154	PMM0579	PATHWAY: Purine metabolism; 7-cyano-7-deazaguanine biosynthesis. {ECO:0000256|ARBA:ARBA00005061}.	WP_011132213.1	pmm:PMM0579;		"6-carboxy-5,6,7,8-tetrahydropterin synthase activity [GO:0070497]; metal ion binding [GO:0046872]"	
Q7V2B4	Q7V2B4_PROMP	Probable glutathione reductase (NADPH) (EC 1.8.1.7)	gshR PMM0567	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	459	PMM0567		WP_011132201.1	pmm:PMM0567;	cell redox homeostasis [GO:0045454]	flavin adenine dinucleotide binding [GO:0050660]; glutathione-disulfide reductase (NADPH) activity [GO:0004362]	
Q7V2C0	HIS1_PROMP	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG PMM0560	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	215	PMM0560	PATHWAY: Amino-acid biosynthesis; L-histidine biosynthesis; L-histidine from 5-phospho-alpha-D-ribose 1-diphosphate: step 1/9. {ECO:0000255|HAMAP-Rule:MF_01018}.	WP_011132194.1	pmm:PMM0560;	histidine biosynthetic process [GO:0000105]	ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]	cytoplasm [GO:0005737]
Q7V2C1	Q7V2C1_PROMP	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	gloB PMM0559	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	246	PMM0559	PATHWAY: Secondary metabolite metabolism; methylglyoxal degradation; (R)-lactate from methylglyoxal: step 2/2. {ECO:0000256|HAMAP-Rule:MF_01374}.	WP_011132193.1	pmm:PMM0559;	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872]	
Q7V2C5	CSS4B_PROMP	Carboxysome shell vertex protein CsoS4B	csoS4B PMM0555	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	73	PMM0555			pmm:PMM0555;	carbon fixation [GO:0015977]; photosynthesis [GO:0015979]		carboxysome [GO:0031470]
Q7V2C6	CSS4A_PROMP	Carboxysome shell vertex protein CsoS4A	csoS4A PMM0554	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	88	PMM0554		WP_011132188.1	pmm:PMM0554;	carbon fixation [GO:0015977]; photosynthesis [GO:0015979]		carboxysome [GO:0031470]
Q7V2D8	Q7V2D8_PROMP	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33)	pcr por PMM0542	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	334	PMM0542	"PATHWAY: Porphyrin-containing compound metabolism; chlorophyll biosynthesis. {ECO:0000256|ARBA:ARBA00005173, ECO:0000256|RuleBase:RU365001}."	WP_011132177.1	pmm:PMM0542;	chlorophyll biosynthetic process [GO:0015995]; photosynthesis [GO:0015979]	protochlorophyllide reductase activity [GO:0016630]	
Q7V2E0	PSAM_PROMP	Photosystem I reaction center subunit XII (PSI-M)	psaM PMM0540	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	34	PMM0540		WP_011132175.1	pmm:PMM0540;	photosynthesis [GO:0015979]		photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V2E3	Q7V2E3_PROMP	N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)	trpF PMM0537	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	220	PMM0537	"PATHWAY: Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 3/5. {ECO:0000256|ARBA:ARBA00004664, ECO:0000256|HAMAP-Rule:MF_00135}."	WP_011132172.1	pmm:PMM0537;	tryptophan biosynthetic process [GO:0000162]	phosphoribosylanthranilate isomerase activity [GO:0004640]	
Q7V2E4	Q7V2E4_PROMP	GTP cyclohydrolase I (EC 3.5.4.16)	folE PMM0536	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	246	PMM0536	"PATHWAY: Cofactor biosynthesis; 7,8-dihydroneopterin triphosphate biosynthesis; 7,8-dihydroneopterin triphosphate from GTP: step 1/1. {ECO:0000256|ARBA:ARBA00005080}."	WP_011132171.1	pmm:PMM0536;	"7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]"	GTP cyclohydrolase I activity [GO:0003934]	
Q7V2E7	Q7V2E7_PROMP	Long-chain acyl-[acyl-carrier-protein] reductase (AAR) (EC 1.2.1.80)	PMM0533	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	346	PMM0533		WP_011132168.1	pmm:PMM0533;		oxidoreductase activity [GO:0016491]	
Q7V2E8	Q7V2E8_PROMP	Aldehyde decarbonylase (AD) (EC 4.1.99.5) (Fatty aldehyde decarbonylase)	PMM0532	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	238	PMM0532		WP_011132167.1	pmm:PMM0532;		aldehyde oxygenase (deformylating) activity [GO:1990465]; octadecanal decarbonylase activity [GO:0009924]; transition metal ion binding [GO:0046914]	
Q7V2F2	Q7V2F2_PROMP	Purine nucleoside phosphorylase	PMM0528	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	260	PMM0528			pmm:PMM0528;		adenosine deaminase activity [GO:0004000]; metal ion binding [GO:0046872]; S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]	
Q7V2F4	Q7V2F4_PROMP	Acetolactate synthase (EC 2.2.1.6)	ilvH PMM0526	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	587	PMM0526	"PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 1/4. {ECO:0000256|ARBA:ARBA00004974, ECO:0000256|RuleBase:RU003591}.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 1/4. {ECO:0000256|ARBA:ARBA00005025, ECO:0000256|RuleBase:RU003591}."	WP_011132161.1	pmm:PMM0526;	isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]	
Q7V2F9	RRF_PROMP	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr PMM0521	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	182	PMM0521		WP_011132156.1	pmm:PMM0521;	translational termination [GO:0006415]		cytoplasm [GO:0005737]
Q7V2G7	Q7V2G7_PROMP	Signal peptidase I (EC 3.4.21.89)	lepB PMM0513	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	228	PMM0513		WP_011132148.1	pmm:PMM0513;	signal peptide processing [GO:0006465]	serine-type endopeptidase activity [GO:0004252]	membrane [GO:0016020]
Q7V2H0	SYP_PROMP	Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	proS PMM0508	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	600	PMM0508		WP_011132143.1	pmm:PMM0508;	prolyl-tRNA aminoacylation [GO:0006433]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]	cytoplasm [GO:0005737]
Q7V2I2	Q7V2I2_PROMP	inorganic diphosphatase (EC 3.6.1.1)	ppa (ipyR) PMM0494	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	195	PMM0494		WP_011132129.1	pmm:PMM0494;	phosphate-containing compound metabolic process [GO:0006796]	inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]
Q7V2I3	Q7V2I3_PROMP	Metal-dependent carboxypeptidase (EC 3.4.17.19)	cxp PMM0493	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	501	PMM0493		WP_011132128.1	pmm:PMM0493;	proteolysis [GO:0006508]	metal ion binding [GO:0046872]; metallocarboxypeptidase activity [GO:0004181]	
Q7V2I5	PHS_PROMP	Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD)	PMM0491	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	96	PMM0491		WP_011132126.1	pmm:PMM0491;	tetrahydrobiopterin biosynthetic process [GO:0006729]	4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]	
Q7V2K1	RL19_PROMP	50S ribosomal protein L19	rplS rpl19 PMM0475	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	160	PMM0475			pmm:PMM0475;	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]
Q7V2K7	Q7V2K7_PROMP	Photosystem I reaction center subunit III (PSI-F)	psaF PMM0469	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	184	PMM0469		WP_011132105.1	pmm:PMM0469;	photosynthesis [GO:0015979]		photosystem I reaction center [GO:0009538]; plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V2K8	PSAJ_PROMP	Photosystem I reaction center subunit IX	psaJ PMM0468	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	44	PMM0468		WP_011132104.1	pmm:PMM0468;	photosynthesis [GO:0015979]		photosystem I [GO:0009522]; plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V2K9	KGUA_PROMP	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	gmk PMM0467	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	184	PMM0467		WP_011132103.1	pmm:PMM0467;	phosphorylation [GO:0016310]	ATP binding [GO:0005524]; guanylate kinase activity [GO:0004385]	cytoplasm [GO:0005737]
Q7V2L2	Q7V2L2_PROMP	Sec-independent protein translocase protein TatC	tatC PMM0464	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	252	PMM0464		WP_011132100.1	pmm:PMM0464;	protein transport by the Tat complex [GO:0043953]	protein transmembrane transporter activity [GO:0008320]	TAT protein transport complex [GO:0033281]
Q7V2L5	CYF_PROMP	Cytochrome f	petA PMM0461	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	317	PMM0461		WP_011132097.1	pmm:PMM0461;	photosynthesis [GO:0015979]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]	plasma membrane-derived thylakoid membrane [GO:0031676]
Q7V2L6	LGT_PROMP	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase (EC 2.5.1.145)	lgt PMM0460	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	297	PMM0460	PATHWAY: Protein modification; lipoprotein biosynthesis (diacylglyceryl transfer). {ECO:0000255|HAMAP-Rule:MF_01147}.	WP_011132096.1	pmm:PMM0460;	lipoprotein biosynthetic process [GO:0042158]	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity [GO:0008961]	plasma membrane [GO:0005886]
Q7V2L9	Q7V2L9_PROMP	4-hydroxybenzoate solanesyltransferase (EC 2.5.1.39) (4-HB polyprenyltransferase)	ubiA plqA PMM0456	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	295	PMM0456		WP_011132092.1	pmm:PMM0456;	plastoquinone biosynthetic process [GO:0010236]	4-hydroxybenzoate decaprenyltransferase activity [GO:0002083]; 4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293]; 4-hydroxybenzoate octaprenyltransferase activity [GO:0008412]	plasma membrane [GO:0005886]
Q7V2M1	ISPD_PROMP	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD PMM0454	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	223	PMM0454	PATHWAY: Isoprenoid biosynthesis; isopentenyl diphosphate biosynthesis via DXP pathway; isopentenyl diphosphate from 1-deoxy-D-xylulose 5-phosphate: step 2/6. {ECO:0000255|HAMAP-Rule:MF_00108}.	WP_011132090.1	pmm:PMM0454;	"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]"	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]	
Q7V2M2	Q7V2M2_PROMP	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	fabG PMM0453	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	249	PMM0453	PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000256|RuleBase:RU366074}.	WP_011132089.1	pmm:PMM0453;	fatty acid biosynthetic process [GO:0006633]	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; NAD binding [GO:0051287]	
Q7V2M9	Q7V2M9_PROMP	Cytochrome c oxidase subunit 2 (EC 7.1.1.9)	ctaC (coxB) PMM0446	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	267	PMM0446		WP_011132082.1	pmm:PMM0446;		copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]	plasma membrane [GO:0005886]; respirasome [GO:0070469]
Q7V2N1	Q7V2N1_PROMP	"Cytochrome c oxidase, subunit III (EC 1.9.3.1)"	ctaE PMM0444	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	200	PMM0444		WP_011132080.1	pmm:PMM0444;	aerobic electron transport chain [GO:0019646]	cytochrome-c oxidase activity [GO:0004129]	plasma membrane [GO:0005886]
Q7V2P1	Q7V2P1_PROMP	"2-phytyl-1,4-naphtoquinone methyltransferase (EC 2.1.1.329) (Demethylphylloquinone methyltransferase)"	menG PMM0431	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	233	PMM0431	PATHWAY: Cofactor biosynthesis; phylloquinone biosynthesis. {ECO:0000256|HAMAP-Rule:MF_01982}.	WP_011132067.1	pmm:PMM0431;	methylation [GO:0032259]; phylloquinone biosynthetic process [GO:0042372]	"2-phytyl-1,4-naphthoquinone methyltransferase activity [GO:0052624]"	
Q7V2P5	Q7V2P5_PROMP	peptidoglycan glycosyltransferase (EC 2.4.1.129)	PMM0427	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	587	PMM0427		WP_011132063.1	pmm:PMM0427;	proteolysis [GO:0006508]	carboxypeptidase activity [GO:0004180]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]	membrane [GO:0016020]
Q7V2P6	Q7V2P6_PROMP	16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	PMM0426	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	437	PMM0426		WP_011132062.1	pmm:PMM0426;	regulation of DNA-templated transcription [GO:0006355]	RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]	cytoplasm [GO:0005737]
Q7V2Q1	LEPA_PROMP	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA PMM0420	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	602	PMM0420		WP_011132056.1	pmm:PMM0420;	translation [GO:0006412]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]	plasma membrane [GO:0005886]
Q7V2Q2	MQO_PROMP	Probable malate:quinone oxidoreductase (EC 1.1.5.4) (MQO) (Malate dehydrogenase [quinone])	mqo PMM0419	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	497	PMM0419	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; oxaloacetate from (S)-malate (quinone route): step 1/1. {ECO:0000255|HAMAP-Rule:MF_00212}.	WP_011132055.1	pmm:PMM0419;	tricarboxylic acid cycle [GO:0006099]	malate dehydrogenase (menaquinone) activity [GO:0052589]; malate dehydrogenase (quinone) activity [GO:0008924]	
Q7V2R1	RS4_PROMP	30S ribosomal protein S4	rpsD rps4 PMM0410	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	202	PMM0410		WP_011132046.1	pmm:PMM0410;	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	small ribosomal subunit [GO:0015935]
Q7V2R2	Q7V2R2_PROMP	Cysteine synthase (EC 2.5.1.47)	cysK1 PMM0407	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	328	PMM0407		WP_011132043.1	pmm:PMM0407;	cysteine biosynthetic process from serine [GO:0006535]	cysteine synthase activity [GO:0004124]; lyase activity [GO:0016829]	
Q7V2R3	QUEA_PROMP	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA PMM0406	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	374	PMM0406	PATHWAY: tRNA modification; tRNA-queuosine biosynthesis.	WP_011132042.1	pmm:PMM0406;	queuosine biosynthetic process [GO:0008616]	S-adenosylmethionine:tRNA ribosyltransferase-isomerase activity [GO:0051075]	cytoplasm [GO:0005737]
Q7V2R4	Q7V2R4_PROMP	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-)	pdhC PMM0405	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	455	PMM0405		WP_011132041.1	pmm:PMM0405;	acetyl-CoA biosynthetic process from pyruvate [GO:0006086]	acyltransferase activity [GO:0016746]	pyruvate dehydrogenase complex [GO:0045254]
Q7V2R9	Q7V2R9_PROMP	Ribosome hibernation promoting factor (HPF)	lrtA hpf PMM0400	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	194	PMM0400		WP_011132036.1	pmm:PMM0400;	primary metabolic process [GO:0044238]; regulation of translation [GO:0006417]		cytoplasm [GO:0005737]
Q7V2S0	Q7V2S0_PROMP	deoxyribose-phosphate aldolase (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase)	PMM0399	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	219	PMM0399		WP_011132035.1	pmm:PMM0399;	deoxyribonucleotide catabolic process [GO:0009264]	deoxyribose-phosphate aldolase activity [GO:0004139]	cytoplasm [GO:0005737]
Q7V2S1	Q7V2S1_PROMP	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)	proC PMM0396	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	268	PMM0396	PATHWAY: Amino-acid biosynthesis; L-proline biosynthesis; L-proline from L-glutamate 5-semialdehyde: step 1/1. {ECO:0000256|HAMAP-Rule:MF_01925}.	WP_011132032.1	pmm:PMM0396;	L-proline biosynthetic process [GO:0055129]	pyrroline-5-carboxylate reductase activity [GO:0004735]	cytoplasm [GO:0005737]
Q7V2S2	SEPF_PROMP	Cell division protein SepF	sepF PMM0395	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	191	PMM0395		WP_011132031.1	pmm:PMM0395;	division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]		cytoplasm [GO:0005737]
Q7V2S6	DER_PROMP	GTPase Der (GTP-binding protein EngA)	der engA PMM0391	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	458	PMM0391		WP_011132027.1	pmm:PMM0391;	ribosome biogenesis [GO:0042254]	GTP binding [GO:0005525]	
Q7V2T9	Q7V2T9_PROMP	Sec-independent protein translocase protein TatA	tatA PMM0374	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	63	PMM0374		WP_011132011.1	pmm:PMM0374;	protein transport by the Tat complex [GO:0043953]	protein transmembrane transporter activity [GO:0008320]	TAT protein transport complex [GO:0033281]
Q7V2U0	CYNS_PROMP	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	cynS PMM0373	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	147	PMM0373		WP_011132010.1	pmm:PMM0373;	cyanate metabolic process [GO:0009439]	cyanate hydratase activity [GO:0008824]; DNA binding [GO:0003677]	
Q7V2W2	Q7V2W2_PROMP	Sec-independent protein translocase protein TatA	tatA PMM0343	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	96	PMM0343		WP_011131980.1	pmm:PMM0343;	protein transport by the Tat complex [GO:0043953]	protein transmembrane transporter activity [GO:0008320]	TAT protein transport complex [GO:0033281]
Q7V2X3	PSAE_PROMP	Photosystem I reaction center subunit IV	psaE PMM0329	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	69	PMM0329		WP_011131966.1	pmm:PMM0329;	photosynthesis [GO:0015979]		photosystem I reaction center [GO:0009538]; plasma membrane-derived thylakoid membrane [GO:0031676]
